run_id,candidate_id,case_id,replay,command
near_single_object_candidate_0010,candidate_0010,near_single_object,datasets/near_single_object,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --min-depth-mm=250 --pcl-sample-step-px=2 --track-confirm-frames=4 --max-depth-mm=3500 --depth-slice-mm=200 --max-frames=600 --cluster-map-export=analysis_runs\near_single_object_candidate_0010\cluster_map --final-segmentation-export=analysis_runs\near_single_object_candidate_0010\final_segmentation
near_adjacent_objects_candidate_0010,candidate_0010,near_adjacent_objects,datasets/near_adjacent_objects,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --min-depth-mm=250 --pcl-sample-step-px=2 --track-confirm-frames=4 --max-depth-mm=3500 --depth-slice-mm=200 --max-frames=600 --cluster-map-export=analysis_runs\near_adjacent_objects_candidate_0010\cluster_map --final-segmentation-export=analysis_runs\near_adjacent_objects_candidate_0010\final_segmentation
far_cabinet_candidate_0010,candidate_0010,far_cabinet,datasets/far_cabinet,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --min-depth-mm=250 --pcl-sample-step-px=2 --track-confirm-frames=4 --max-depth-mm=3500 --depth-slice-mm=200 --max-frames=600 --cluster-map-export=analysis_runs\far_cabinet_candidate_0010\cluster_map --final-segmentation-export=analysis_runs\far_cabinet_candidate_0010\final_segmentation
depth_hole_black_object_candidate_0010,candidate_0010,depth_hole_black_object,datasets/depth_hole_black_object,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --min-depth-mm=250 --pcl-sample-step-px=2 --track-confirm-frames=4 --max-depth-mm=3500 --depth-slice-mm=200 --max-frames=600 --cluster-map-export=analysis_runs\depth_hole_black_object_candidate_0010\cluster_map --final-segmentation-export=analysis_runs\depth_hole_black_object_candidate_0010\final_segmentation
wall_table_background_candidate_0010,candidate_0010,wall_table_background,datasets/wall_table_background,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --min-depth-mm=250 --pcl-sample-step-px=2 --track-confirm-frames=4 --max-depth-mm=3500 --depth-slice-mm=200 --max-frames=600 --cluster-map-export=analysis_runs\wall_table_background_candidate_0010\cluster_map --final-segmentation-export=analysis_runs\wall_table_background_candidate_0010\final_segmentation
near_single_object_candidate_0011,candidate_0011,near_single_object,datasets/near_single_object,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --pcl-sample-step-px=3 --pcl-cluster-tolerance-mm=70 --track-confirm-frames=3 --track-smooth-percent=55 --infrared-canny-high=110 --max-frames=600 --cluster-map-export=analysis_runs\near_single_object_candidate_0011\cluster_map --final-segmentation-export=analysis_runs\near_single_object_candidate_0011\final_segmentation
near_adjacent_objects_candidate_0011,candidate_0011,near_adjacent_objects,datasets/near_adjacent_objects,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --pcl-sample-step-px=3 --pcl-cluster-tolerance-mm=70 --track-confirm-frames=3 --track-smooth-percent=55 --infrared-canny-high=110 --max-frames=600 --cluster-map-export=analysis_runs\near_adjacent_objects_candidate_0011\cluster_map --final-segmentation-export=analysis_runs\near_adjacent_objects_candidate_0011\final_segmentation
far_cabinet_candidate_0011,candidate_0011,far_cabinet,datasets/far_cabinet,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --pcl-sample-step-px=3 --pcl-cluster-tolerance-mm=70 --track-confirm-frames=3 --track-smooth-percent=55 --infrared-canny-high=110 --max-frames=600 --cluster-map-export=analysis_runs\far_cabinet_candidate_0011\cluster_map --final-segmentation-export=analysis_runs\far_cabinet_candidate_0011\final_segmentation
depth_hole_black_object_candidate_0011,candidate_0011,depth_hole_black_object,datasets/depth_hole_black_object,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --pcl-sample-step-px=3 --pcl-cluster-tolerance-mm=70 --track-confirm-frames=3 --track-smooth-percent=55 --infrared-canny-high=110 --max-frames=600 --cluster-map-export=analysis_runs\depth_hole_black_object_candidate_0011\cluster_map --final-segmentation-export=analysis_runs\depth_hole_black_object_candidate_0011\final_segmentation
wall_table_background_candidate_0011,candidate_0011,wall_table_background,datasets/wall_table_background,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --pcl-sample-step-px=3 --pcl-cluster-tolerance-mm=70 --track-confirm-frames=3 --track-smooth-percent=55 --infrared-canny-high=110 --max-frames=600 --cluster-map-export=analysis_runs\wall_table_background_candidate_0011\cluster_map --final-segmentation-export=analysis_runs\wall_table_background_candidate_0011\final_segmentation
