contour_id,persistence_bucket,long_run_count,run_count,bbox_width_p50,bbox_height_p50,bbox_area_percent_p50,foreground_area_percent_p50,mean_depth_mm_p50,center_radius_percent_p50,base_side,side,track_count,contour_count,frame_count,pair_count,binary_iou_min,binary_iou_p05,binary_iou_p50,binary_iou_p95,binary_iou_max,binary_iou_gt99_percent,occupancy_similarity_p05,occupancy_similarity_p50,occupancy_similarity_p95,binary_exact_adjacent_pair_count,binary_exact_adjacent_pair_percent,identity_scoped_binary_unique_value_count,identity_scoped_binary_repeated_frame_count,identity_scoped_binary_max_repeat_frequency,shape_only_binary_unique_value_count,identity_scoped_occupancy_unique_value_count,identity_scoped_occupancy_repeated_frame_count
60,medium_short,0,1,46.0,94.0,1.452474,0.449219,3443.0,68.472736,128,8,1,1,14,13,33.333333333333336,33.333333333333336,100.0,100.0,100.0,84.61538461538461,96.4599609375,100.0,100.0,11,84.61538461538461,3,11,6,3,3,11
64,medium_short,0,1,36.0,90.0,1.0880535,0.444499,3457.0,67.486689,128,128,1,1,12,11,28.5455369279565,35.7191525038785,100.0,100.0,100.0,72.72727272727273,91.693115234375,100.0,100.0,8,72.72727272727273,4,8,6,4,4,8
64,medium_short,0,1,36.0,90.0,1.0880535,0.444499,3457.0,67.486689,128,64,1,1,12,11,30.36649214659686,37.160213443739885,100.0,100.0,100.0,72.72727272727273,91.71142578125,100.0,100.0,8,72.72727272727273,4,8,6,4,4,8
64,medium_short,0,1,36.0,90.0,1.0880535,0.444499,3457.0,67.486689,128,32,1,1,12,11,28.37837837837838,36.32659376934186,100.0,100.0,100.0,72.72727272727273,91.85791015625,100.0,100.0,8,72.72727272727273,4,8,6,4,4,8
64,medium_short,0,1,36.0,90.0,1.0880535,0.444499,3457.0,67.486689,128,16,1,1,12,11,22.22222222222222,32.078853046594986,100.0,100.0,100.0,72.72727272727273,92.608642578125,100.0,100.0,8,72.72727272727273,4,8,6,4,4,8
64,medium_short,0,1,36.0,90.0,1.0880535,0.444499,3457.0,67.486689,128,8,1,1,12,11,11.11111111111111,22.22222222222222,100.0,100.0,100.0,72.72727272727273,94.439697265625,100.0,100.0,8,72.72727272727273,4,8,6,4,4,8
66,medium_short,0,2,119.0,45.0,1.690104,0.627604,360.0,58.065696,256,256,2,1,116,114,16.470588235294116,29.245036847980938,100.0,100.0,100.0,67.54385964912281,96.917724609375,100.0,100.0,77,67.54385964912281,39,77,6,39,39,77
66,medium_short,0,2,119.0,45.0,1.690104,0.627604,360.0,58.065696,256,128,2,1,116,114,18.58678955453149,30.764692138854244,100.0,100.0,100.0,67.54385964912281,96.93496704101562,100.0,100.0,77,67.54385964912281,39,77,6,39,39,77
66,medium_short,0,2,119.0,45.0,1.690104,0.627604,360.0,58.065696,256,64,2,1,116,114,16.9811320754717,29.157608695652172,100.0,100.0,100.0,67.54385964912281,96.97525024414062,100.0,100.0,77,67.54385964912281,39,77,6,39,39,77
66,medium_short,0,2,119.0,45.0,1.690104,0.627604,360.0,58.065696,256,32,2,1,116,114,11.627906976744185,29.328063241106722,100.0,100.0,100.0,67.54385964912281,97.19802856445312,100.0,100.0,77,67.54385964912281,39,77,6,39,39,77
66,medium_short,0,2,119.0,45.0,1.690104,0.627604,360.0,58.065696,256,16,2,1,116,114,18.181818181818183,36.04166666666667,100.0,100.0,100.0,69.29824561403508,97.75184631347656,100.0,100.0,79,69.29824561403508,31,85,15,31,39,77
66,medium_short,0,2,119.0,45.0,1.690104,0.627604,360.0,58.065696,256,8,2,1,116,114,0.0,0.0,100.0,100.0,100.0,80.70175438596492,98.12713623046875,100.0,100.0,92,80.70175438596492,6,110,49,6,39,77
68,medium_short,0,1,38.0,94.0,1.16276,0.441406,3451.0,68.308583,128,128,1,1,6,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5,100.0,1,5,6,1,1,5
68,medium_short,0,1,38.0,94.0,1.16276,0.441406,3451.0,68.308583,128,64,1,1,6,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5,100.0,1,5,6,1,1,5
68,medium_short,0,1,38.0,94.0,1.16276,0.441406,3451.0,68.308583,128,32,1,1,6,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5,100.0,1,5,6,1,1,5
